,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
292,lang son,vn,21.8333,106.7333,75.67,94,99,4.21,1725565783
293,hasaki,jp,35.7333,140.8333,76.42,88,80,4.76,1725565783
294,tokmok,kg,42.8417,75.3016,62.17,23,61,3.51,1725565784
295,shushenskoye,ru,53.325,91.9356,53.74,88,100,1.95,1725565784
296,lodja,cd,-3.4833,23.4333,71.13,86,25,1.39,1725565784
297,muisne,ec,0.6,-80.0333,77.02,79,86,10.27,1725565784
298,nadi,fj,-17.8,177.4167,68.0,77,75,6.91,1725565785
299,ciudad lazaro cardenas,mx,17.9583,-102.2,88.54,64,100,8.12,1725565785
300,jinchang,cn,38.4953,102.1739,53.78,90,100,7.14,1725565785
301,foundiougne,sn,14.1333,-16.4667,80.67,69,81,13.09,1725565785
302,yaren,nr,-0.5472,166.916,82.94,77,84,15.35,1725565785
303,shingu,jp,33.7333,135.9833,72.72,88,100,4.27,1725565786
304,trinidad,bo,-14.8333,-64.9,85.98,35,21,16.11,1725565786
305,constantia,za,44.1833,28.65,66.88,64,0,8.1,1725565537
306,varadero,cu,23.1536,-81.2514,90.36,74,18,17.96,1725565690
307,gaspe,ca,48.8334,-64.4819,82.62,42,40,4.61,1725565786
308,outokumpu,fi,62.7269,29.0159,63.59,80,0,3.96,1725565786
309,minot air force base,us,48.4209,-101.3391,66.38,45,40,12.66,1725565787
310,petropavlovka,ru,50.6114,105.3196,49.44,69,17,2.01,1725565787
311,lhokseumawe,id,5.1801,97.1507,78.26,91,99,6.67,1725565787
312,yorkton,ca,51.2167,-102.4677,66.04,45,75,11.5,1725565787
313,san jose de jachal,ar,-30.2406,-68.7469,72.7,16,89,5.99,1725565498
314,sola,vu,-13.8833,167.55,76.53,65,13,27.56,1725565787
315,rio grande,mx,-32.035,-52.0986,55.98,56,0,8.99,1725565788
316,antsiranana,mg,-12.2787,49.2917,74.44,72,19,19.22,1725565788
317,xunchang,cn,28.4543,104.715,73.31,92,53,2.77,1725565788
318,kapa'a,us,22.0752,-159.319,82.09,71,20,6.91,1725565788
319,mpongwe,zm,-13.5091,28.155,65.91,33,93,7.07,1725565788
320,narvik,no,68.4384,17.4272,54.37,93,67,2.82,1725565788
321,koraput,in,18.8167,82.7167,70.88,97,100,2.19,1725565789
322,east end,ky,34.5507,-92.341,90.79,54,92,3.0,1725565789
323,mandimba,mz,-14.3548,35.6515,73.22,38,84,0.16,1725565789
324,parun,af,35.4207,70.9221,49.08,54,0,6.8,1725565789
325,nizhneudinsk,ru,54.9076,99.0276,47.62,98,97,1.41,1725565789
326,mermoz boabab,sn,14.7065,-17.4758,82.18,74,75,9.22,1725565790
327,aykol,cn,38.1751,77.2132,68.32,34,0,2.93,1725565790
328,belmonte,br,-15.8631,-38.8828,75.96,69,0,7.67,1725565790
329,itaituba,br,-4.2761,-55.9836,98.76,41,20,4.61,1725565790
330,tomatlan,mx,19.9333,-105.25,91.58,57,58,9.06,1725565791
331,onverwacht,sr,5.5833,-55.1833,89.46,83,40,6.91,1725565791
332,woolgoolga,au,-30.1106,153.2007,52.03,64,0,8.61,1725565791
333,mugia,es,43.1041,-9.2179,60.91,65,100,15.99,1725565791
334,heihe,cn,50.2441,127.4902,46.98,48,65,4.32,1725565791
335,howard springs,au,-12.497,131.047,76.91,86,98,6.26,1725565791
336,penzance,gb,50.1186,-5.5371,59.68,92,100,5.26,1725565792
337,zhu cheng city,cn,35.995,119.4026,64.83,83,0,6.46,1725565792
338,mar del plata,ar,-38.0023,-57.5575,57.52,68,0,10.36,1725565498
339,arauco,ar,-37.2463,-73.3175,46.56,95,100,2.57,1725565792
340,tongliao,cn,43.6125,122.2653,57.94,66,46,5.06,1725565792
341,saudarkrokur,is,65.7461,-19.6394,48.97,71,100,27.74,1725565792
342,koksan,kp,38.7819,126.6664,63.86,95,9,5.19,1725565793
343,kanniyakumari,in,8.0833,77.5667,80.06,80,97,21.92,1725565793
344,ust-nera,ru,64.5667,143.2,46.38,96,100,5.84,1725565793
345,zhangye,cn,38.9342,100.4517,55.74,74,97,6.17,1725565793
346,naracoorte,au,-36.9579,140.7383,53.1,80,58,9.22,1725565793
347,troitskiy,ru,57.0603,63.7481,49.48,77,100,4.47,1725565793
348,panama city beach,us,30.1766,-85.8055,89.01,70,75,9.22,1725565500
349,ismailia,eg,30.6043,32.2723,79.18,64,0,5.57,1725565794
350,walvis bay,na,-22.9575,14.5053,58.15,67,0,10.36,1725565794
351,palmer,us,42.1584,-72.3287,79.45,41,20,8.05,1725565794
352,tsiombe,mg,-25.3,45.4833,72.3,71,0,5.5,1725565794
353,karratha,au,-20.7377,116.8463,69.3,38,0,11.63,1725565795
354,auki,sb,-8.7676,160.7034,75.42,88,100,4.12,1725565795
355,bondo,cd,3.8146,23.6866,69.76,88,96,0.69,1725565795
356,basoko,cd,1.2391,23.616,72.9,82,82,2.17,1725565796
357,kharp,ru,66.8014,65.8081,53.26,92,100,6.4,1725565796
358,shizunai-furukawacho,jp,42.3339,142.3669,71.24,95,100,21.61,1725565564
359,port blair,in,11.6667,92.75,82.44,83,75,12.66,1725565797
360,olyokminsk,ru,60.3736,120.4264,42.28,93,100,5.95,1725565797
361,pandan,ph,14.0453,124.1694,81.57,84,100,8.66,1725565797
362,weno,fm,7.4515,151.8468,82.35,83,75,4.61,1725565797
363,keflavik,is,64.0049,-22.5624,48.63,87,100,16.11,1725565797
364,al mindak,sa,20.1588,41.2834,70.65,75,68,3.98,1725565797
365,caleta de carquin,pe,-11.0925,-77.6267,65.34,70,7,8.93,1725565798
366,rongelap,mh,11.1635,166.8941,83.71,80,100,22.46,1725565798
367,middle ridge,au,-27.6016,151.9621,47.93,91,0,1.61,1725565798
368,homer,us,59.6425,-151.5483,55.04,95,100,0.0,1725565798
369,baihar,in,22.1,80.55,72.73,97,98,1.61,1725565799
